command,mean,stddev,median,user,system,min,max,parameter
cargo run --release -- -p 200 -g 600,0.761660151395,0.1283816518955952,0.720614739095,8.08504777,2.21031523,0.617931940595,1.000424597595,200
cargo run --release -- -p 600 -g 600,1.1252860997950003,0.1156010647217232,1.110234219095,17.39717097,3.8906123300000006,0.985706839595,1.313197306595,600
cargo run --release -- -p 1000 -g 600,1.571284780995,0.06789862465792293,1.572690897095,25.36611697,5.39235023,1.478682233595,1.680528558595,1000
cargo run --release -- -p 1400 -g 600,2.018848176695,0.08065795421397871,2.0352862110950003,35.00407876999999,8.084236330000001,1.897728074595,2.135901294595,1400
cargo run --release -- -p 1800 -g 600,2.5219567783950003,0.09822791459796587,2.551840323595,44.763755569999994,9.772240530000001,2.291590539595,2.6010374395950002,1800
cargo run --release -- -p 2200 -g 600,3.5408880765949995,0.879376863349139,3.103297951595,63.25897806999999,14.058492730000001,3.023091086595,5.5635769085949995,2200
cargo run --release -- -p 2600 -g 600,3.9943041643949995,1.3284531654971488,3.5574958055950003,71.67995726999999,15.921117829999996,3.480538852595,7.765356846595,2600
cargo run --release -- -p 3000 -g 600,4.174347156895,0.11069757364090589,4.164261178595,75.35723257,16.69610593,3.968676524595,4.351183013595,3000
cargo run --release -- -p 3400 -g 600,4.952713666395001,0.44221861524641265,4.829229199595,86.88835916999999,19.801574230000003,4.653080172595,6.176192776594999,3400
cargo run --release -- -p 3800 -g 600,5.500250519594999,0.16485226674047596,5.550884141095,95.64857766999998,22.06486493,5.252134706595,5.720673068595,3800
cargo run --release -- -p 4200 -g 600,6.264251684595001,0.26975670379811917,6.191116410095,107.57103777,25.38075133,6.071875532595,6.974694395595,4200
cargo run --release -- -p 4600 -g 600,6.763733280894999,0.2096481621521246,6.7082306170949995,115.60885426999997,27.21518253,6.452532046595,7.153598372595,4600
cargo run --release -- -p 5000 -g 600,9.101229284095002,2.9473546070438426,7.633319564595,145.34916146999996,35.48927743,7.406937497595,16.644213711595,5000
cargo run --release -- -p 5400 -g 600,8.553586168895,0.7918609422635908,8.439864619095001,141.05998397,34.03749743,7.699639512595,10.585131072595,5400
cargo run --release -- -p 5800 -g 600,8.933788339195,0.16430539003729538,8.889298464595,147.91410107,35.70850203,8.718757522595,9.280858783595,5800
cargo run --release -- -p 6200 -g 600,11.149499780195,3.4384642444876037,9.610779086595002,172.85644196999996,41.80201043,9.336752575595,19.045270689595,6200
cargo run --release -- -p 6600 -g 600,11.786500951595002,3.560536616732982,10.309780830095,183.96525357000002,43.84290843,9.650888234595001,20.566365381595,6600
cargo run --release -- -p 7000 -g 600,11.391673914995,1.7591741630077518,10.820876395595,177.61557926999998,43.51300593,10.530278659595,16.376157562594997,7000
cargo run --release -- -p 7400 -g 600,11.367072549195,0.20485331242982918,11.356725977095,182.15762346999998,44.231943429999994,11.144296409595,11.684897824595001,7400
cargo run --release -- -p 7800 -g 600,13.270495848895001,3.996509796840953,12.058567986095,204.50325216999994,48.24325682999999,11.591327247595,24.632455111595,7800
cargo run --release -- -p 8200 -g 600,12.599471074795,0.0968575704798991,12.614124621595,199.48739326999998,48.190157129999996,12.468185438595,12.739496318595,8200
cargo run --release -- -p 8600 -g 600,13.907792123195,1.1167690796564473,13.640119273095,214.60836046999998,52.581058930000005,13.117463179595001,17.027404363595,8600
cargo run --release -- -p 9000 -g 600,15.591507248895002,3.349074032139561,14.127357574095,232.95092126999998,55.503842129999995,13.322205067595,22.458176429595,9000
cargo run --release -- -p 9400 -g 600,15.782856757395004,2.552369245744793,14.747166688095,232.66050327000002,56.56102823000001,14.100788369595001,21.628427789594998,9400
cargo run --release -- -p 9800 -g 600,17.062137771295003,4.173923382511424,15.269799644595,250.08279187000002,59.22105302999999,14.919548163595001,27.246963484595,9800
