command,mean,stddev,median,user,system,min,max,parameter
RAYON_NUM_THREADS=1 cargo run --release -- -p 1000 -g 1000,13.827387674509998,3.1860123159297093,14.58962686101,12.863321959999999,0.25240260999999997,10.37068790551,17.17836089251,1
RAYON_NUM_THREADS=2 cargo run --release -- -p 1000 -g 1000,9.42367535731,2.75642007757831,9.948538737509999,14.455467159999998,0.42512021000000005,5.48073532351,14.46090007951,2
RAYON_NUM_THREADS=3 cargo run --release -- -p 1000 -g 1000,4.29890592311,0.220110547147161,4.28313191651,10.89580646,0.5017082100000001,4.02940632851,4.71166527951,3
RAYON_NUM_THREADS=4 cargo run --release -- -p 1000 -g 1000,3.7098294938099996,0.44464042941649307,3.5901682395099996,11.60142386,0.64028741,3.31821509651,4.91055575851,4
RAYON_NUM_THREADS=5 cargo run --release -- -p 1000 -g 1000,3.7863879183099995,0.7129415172591008,3.58616851651,13.95245786,0.8513244099999999,3.13041281351,5.47337382351,5
RAYON_NUM_THREADS=6 cargo run --release -- -p 1000 -g 1000,3.08000774421,0.45648273908903825,3.05156183051,13.06012076,1.0835805099999998,2.5715617485099997,4.198854353510001,6
RAYON_NUM_THREADS=7 cargo run --release -- -p 1000 -g 1000,2.9048223856099993,0.24299129919817103,2.85635561401,14.215074759999998,1.3178450099999999,2.6022736415099996,3.3586603615099997,7
RAYON_NUM_THREADS=8 cargo run --release -- -p 1000 -g 1000,2.92137530731,0.18704669195837081,2.93457593501,15.327706859999997,1.6179941099999997,2.67763383951,3.31755325351,8
RAYON_NUM_THREADS=9 cargo run --release -- -p 1000 -g 1000,2.7490151847099997,0.11038744622481396,2.72157878751,16.53961546,1.9242566099999998,2.58952491151,2.95910745351,9
RAYON_NUM_THREADS=10 cargo run --release -- -p 1000 -g 1000,2.7831102838099997,0.3422249516236454,2.70536739751,18.077555059999998,2.3191753099999994,2.5475695565099996,3.72752015851,10
RAYON_NUM_THREADS=11 cargo run --release -- -p 1000 -g 1000,2.7028734842099995,0.5056195170091484,2.5122437380099996,19.122011660000002,2.5923505099999997,2.29079194251,3.82719347551,11
RAYON_NUM_THREADS=12 cargo run --release -- -p 1000 -g 1000,2.7476179713099995,0.20383572324056798,2.7784057555099997,18.790647659999998,2.9790529099999996,2.43360250351,3.09229394051,12
RAYON_NUM_THREADS=13 cargo run --release -- -p 1000 -g 1000,2.5639711612100005,0.33382146016769987,2.4428806760099997,20.119971359999997,3.28798501,2.28024055751,3.35655171151,13
RAYON_NUM_THREADS=14 cargo run --release -- -p 1000 -g 1000,2.44098161231,0.20664894464022218,2.4188711305099995,19.595721759999996,3.6033047099999997,2.0405902235099997,2.79403450851,14
RAYON_NUM_THREADS=15 cargo run --release -- -p 1000 -g 1000,5.191123040109999,0.8000759130535303,5.38596940751,23.30007416,8.940681309999999,2.9826186945099997,5.67687725851,15
RAYON_NUM_THREADS=16 cargo run --release -- -p 1000 -g 1000,3.71420641781,1.6890830111237685,2.86457303001,23.825215159999996,6.7900239099999995,2.17484803851,6.627058826510001,16
RAYON_NUM_THREADS=17 cargo run --release -- -p 1000 -g 1000,5.496077303010001,0.3384683329964563,5.49271865851,25.584554559999997,11.93454381,4.909309583510001,5.9708637305100005,17
RAYON_NUM_THREADS=18 cargo run --release -- -p 1000 -g 1000,3.4875969765100003,1.309180687247494,2.98266677551,25.872347259999998,7.25372061,2.19680016951,5.52135916851,18
RAYON_NUM_THREADS=19 cargo run --release -- -p 1000 -g 1000,2.3634475872099996,0.21834652635707047,2.3356324845099996,24.087096359999997,5.088405610000001,2.1107345815099996,2.93215850151,19
RAYON_NUM_THREADS=20 cargo run --release -- -p 1000 -g 1000,2.5929142059099997,0.3970353845336686,2.48523992751,26.41668956,5.5434404100000005,2.22683716351,3.60953472251,20
RAYON_NUM_THREADS=21 cargo run --release -- -p 1000 -g 1000,3.4875574066100006,1.6660944713512937,2.59870539701,28.24574796,8.71530701,2.2924957625099998,7.02784186851,21
RAYON_NUM_THREADS=22 cargo run --release -- -p 1000 -g 1000,5.962472362110001,3.255266823544595,5.185817040510001,31.359525259999998,15.552411709999998,3.9959766175099998,15.10142439951,22
RAYON_NUM_THREADS=23 cargo run --release -- -p 1000 -g 1000,4.40784077481,0.6281977449325927,4.207488994010001,30.735243859999997,12.85157781,3.81097916951,5.685561568510001,23
RAYON_NUM_THREADS=24 cargo run --release -- -p 1000 -g 1000,4.06186738091,0.2147549552820104,4.02490002601,31.299672760000004,12.00108311,3.77553929551,4.47121819051,24
RAYON_NUM_THREADS=25 cargo run --release -- -p 1000 -g 1000,5.01806052161,2.3022018095582157,4.17920681151,36.42601336,14.563143910000003,3.5057747875099996,11.221480732509999,25
RAYON_NUM_THREADS=26 cargo run --release -- -p 1000 -g 1000,3.93836595371,0.28466890311422866,3.92778332251,32.56492196000001,12.63132611,3.54026471751,4.2857160505100005,26
RAYON_NUM_THREADS=27 cargo run --release -- -p 1000 -g 1000,4.05523486341,0.40336367445377347,3.9130495745099996,34.51754056,13.235343409999999,3.55083174451,4.7813352065100005,27
RAYON_NUM_THREADS=28 cargo run --release -- -p 1000 -g 1000,4.01713187421,0.3614989181892577,3.90854903901,36.07558786,13.604406909999998,3.67809488351,4.6317547905100005,28
RAYON_NUM_THREADS=29 cargo run --release -- -p 1000 -g 1000,3.1629706956100003,1.065763430472166,2.5253021655099994,35.31164526,10.41301211,2.32283349551,5.37398445251,29
RAYON_NUM_THREADS=30 cargo run --release -- -p 1000 -g 1000,3.879439427610001,1.3047660654398656,4.66723213001,37.998826660000006,14.43893401,2.17464024051,5.025463960510001,30
RAYON_NUM_THREADS=31 cargo run --release -- -p 1000 -g 1000,4.80126667641,0.28974923176922623,4.905972575010001,40.82066026,19.20152801,4.2631814855100005,5.08233744551,31
RAYON_NUM_THREADS=32 cargo run --release -- -p 1000 -g 1000,5.5032865304100005,4.920045807419228,4.84895569751,45.76942196,19.094431909999997,2.3430688735099996,19.07961541951,32
RAYON_NUM_THREADS=33 cargo run --release -- -p 1000 -g 1000,2.5178033955099997,0.16012490741415283,2.50106548601,37.96985016,8.517602409999999,2.30798750651,2.77278790951,33
RAYON_NUM_THREADS=34 cargo run --release -- -p 1000 -g 1000,2.75519808481,0.7773303523422619,2.41222289001,43.70795896,9.71521841,2.2401889045099996,4.690485751510001,34
